Thu Mar 14 10:26:16 2019 | stop  | 
Thu Mar 14 10:26:19 2019 | start | 
Thu Mar 14 10:27:36 2019 | stop  | 
Thu Mar 14 10:27:39 2019 | start | 
Wed Mar 20 09:09:20 2019 | stop  | 
Wed Mar 20 09:09:23 2019 | start | 
Wed Mar 20 11:30:54 2019 | stop  | 
Wed Mar 20 11:30:57 2019 | start | 
Wed Mar 20 11:32:07 2019 | stop  | 
Wed Mar 20 11:32:10 2019 | start | 
Wed Mar 20 11:39:50 2019 | stop  | 
Wed Mar 20 11:39:53 2019 | start | 
Wed Mar 20 11:41:37 2019 | stop  | 
Wed Mar 20 11:41:40 2019 | start | 
Wed Mar 20 11:45:04 2019 | stop  | 
Wed Mar 20 11:45:07 2019 | start | 
Wed Mar 20 11:47:04 2019 | stop  | 
Wed Mar 20 11:47:07 2019 | start | 
Wed Mar 20 12:20:19 2019 | stop  | 
Wed Mar 20 12:20:22 2019 | start | 
Thu Mar 21 10:17:10 2019 | stop  | 
Thu Mar 21 10:17:13 2019 | start | 
Thu Mar 21 10:21:57 2019 | stop  | 
Thu Mar 21 10:22:00 2019 | start | 
Thu Mar 21 10:22:41 2019 | stop  | 
Thu Mar 21 10:22:44 2019 | start | 
Thu Mar 21 10:29:03 2019 | stop  | 
Thu Mar 21 10:29:06 2019 | start | 
Thu Mar 21 10:31:12 2019 | stop  | 
Thu Mar 21 10:31:15 2019 | start | 
Thu Mar 21 11:00:20 2019 | stop  | 
Thu Mar 21 11:00:23 2019 | start | 
Thu Mar 21 11:05:17 2019 | stop  | 
Thu Mar 21 11:05:20 2019 | start | 
Thu Mar 21 11:10:43 2019 | stop  | 
Thu Mar 21 11:10:46 2019 | start | 
Thu Mar 21 11:12:02 2019 | stop  | 
Thu Mar 21 11:12:05 2019 | start | 
Thu Mar 21 11:15:36 2019 | stop  | 
Thu Mar 21 11:15:39 2019 | start | 
Thu Mar 21 11:20:32 2019 | stop  | 
Thu Mar 21 11:20:35 2019 | start | 
Thu Mar 21 11:21:50 2019 | stop  | 
Thu Mar 21 11:21:53 2019 | start | 
Thu Mar 21 11:23:57 2019 | stop  | 
Thu Mar 21 11:24:00 2019 | start | 
Thu Mar 21 11:24:29 2019 | stop  | 
Thu Mar 21 11:24:32 2019 | start | 
Thu Mar 21 11:24:55 2019 | stop  | 
Thu Mar 21 11:24:58 2019 | start | 
Thu Mar 21 11:26:52 2019 | stop  | 
Thu Mar 21 11:26:55 2019 | start | 
Thu Mar 21 11:28:23 2019 | stop  | 
Thu Mar 21 11:28:26 2019 | start | 
Thu Mar 21 11:32:33 2019 | stop  | 
Thu Mar 21 11:32:36 2019 | start | 
Thu Mar 21 11:37:04 2019 | stop  | 
Thu Mar 21 11:37:07 2019 | start | 
Thu Mar 21 12:14:04 2019 | stop  | 
Thu Mar 21 12:14:07 2019 | start | 
Thu Mar 21 12:43:08 2019 | stop  | 
Thu Mar 21 12:43:11 2019 | start | 
Thu Mar 21 13:39:29 2019 | stop  | 
Thu Mar 21 13:39:32 2019 | start | 
Thu Mar 21 13:44:35 2019 | stop  | 
Thu Mar 21 13:44:38 2019 | start | 
Thu Mar 21 13:46:42 2019 | stop  | 
Thu Mar 21 13:46:45 2019 | start | 
Thu Mar 21 14:08:45 2019 | stop  | 
Thu Mar 21 14:08:48 2019 | start | 
Thu Mar 21 14:20:58 2019 | stop  | 
Thu Mar 21 14:21:01 2019 | start | 
Thu Mar 21 14:23:31 2019 | stop  | 
Thu Mar 21 14:23:34 2019 | start | 
Thu Mar 21 14:26:13 2019 | stop  | 
Thu Mar 21 14:26:16 2019 | start | 
Thu Mar 21 14:29:39 2019 | stop  | 
Thu Mar 21 14:29:42 2019 | start | 
Thu Mar 21 14:32:08 2019 | stop  | 
Thu Mar 21 14:32:11 2019 | start | 
Thu Mar 21 14:35:38 2019 | stop  | 
Thu Mar 21 14:35:41 2019 | start | 
Thu Mar 21 14:37:53 2019 | stop  | 
Thu Mar 21 14:37:56 2019 | start | 
Thu Mar 21 14:38:53 2019 | stop  | 
Thu Mar 21 14:38:56 2019 | start | 
Thu Mar 21 14:41:13 2019 | stop  | 
Thu Mar 21 14:41:16 2019 | start | 
Thu Mar 21 14:42:26 2019 | stop  | 
Thu Mar 21 14:42:29 2019 | start | 
Thu Mar 21 14:44:58 2019 | stop  | 
Thu Mar 21 14:45:01 2019 | start | 
Thu Mar 21 14:47:16 2019 | stop  | 
Thu Mar 21 14:47:19 2019 | start | 
Thu Mar 21 14:50:24 2019 | stop  | 
Thu Mar 21 14:50:27 2019 | start | 
Thu Mar 21 14:53:19 2019 | stop  | 
Thu Mar 21 14:53:22 2019 | start | 
Thu Mar 21 14:55:04 2019 | stop  | 
Thu Mar 21 14:55:07 2019 | start | 
Thu Mar 21 14:56:54 2019 | stop  | 
Thu Mar 21 14:56:57 2019 | start | 
Thu Mar 21 15:00:44 2019 | stop  | 
Thu Mar 21 15:00:47 2019 | start | 
Thu Mar 21 15:05:09 2019 | stop  | 
Thu Mar 21 15:05:12 2019 | start | 
Thu Mar 21 15:08:43 2019 | stop  | 
Thu Mar 21 15:08:46 2019 | start | 
Thu Mar 21 15:10:01 2019 | stop  | 
Thu Mar 21 15:10:04 2019 | start | 
Thu Mar 21 15:24:03 2019 | stop  | 
Thu Mar 21 15:24:06 2019 | start | 
Thu Mar 21 15:32:59 2019 | stop  | 
Thu Mar 21 15:33:02 2019 | start | 
Thu Mar 21 15:34:34 2019 | stop  | 
Thu Mar 21 15:34:37 2019 | start | 
Thu Mar 21 15:38:02 2019 | stop  | 
Thu Mar 21 15:38:05 2019 | start | 
Thu Mar 21 15:39:37 2019 | stop  | 
Thu Mar 21 15:39:40 2019 | start | 
Thu Mar 21 15:43:34 2019 | stop  | 
Thu Mar 21 15:43:37 2019 | start | 
Thu Mar 21 15:48:23 2019 | stop  | 
Thu Mar 21 15:48:26 2019 | start | 
Thu Mar 21 16:05:24 2019 | stop  | 
Thu Mar 21 16:05:27 2019 | start | 
Thu Mar 21 16:09:15 2019 | stop  | 
Thu Mar 21 16:09:18 2019 | start | 
Thu Mar 21 16:17:09 2019 | stop  | 
Thu Mar 21 16:17:12 2019 | start | 
Thu Mar 21 16:21:39 2019 | stop  | 
Thu Mar 21 16:21:42 2019 | start | 
Thu Mar 21 16:29:31 2019 | stop  | 
Thu Mar 21 16:29:34 2019 | start | 
Thu Mar 21 16:31:14 2019 | stop  | 
Thu Mar 21 16:31:17 2019 | start | 
Thu Mar 21 16:33:29 2019 | stop  | 
Thu Mar 21 16:33:32 2019 | start | 
Thu Mar 21 16:35:52 2019 | stop  | 
Thu Mar 21 16:35:55 2019 | start | 
Thu Mar 21 16:38:30 2019 | stop  | 
Thu Mar 21 16:38:33 2019 | start | 
Thu Mar 21 16:40:33 2019 | stop  | 
Thu Mar 21 16:40:36 2019 | start | 
Thu Mar 21 16:46:39 2019 | stop  | 
Thu Mar 21 16:46:42 2019 | start | 
Thu Mar 21 16:50:45 2019 | stop  | 
Thu Mar 21 16:50:48 2019 | start | 
Thu Mar 21 16:56:23 2019 | stop  | 
Thu Mar 21 16:56:26 2019 | start | 
Thu Mar 21 17:02:03 2019 | stop  | 
Thu Mar 21 17:02:06 2019 | start | 
Thu Mar 21 17:15:07 2019 | stop  | 
Thu Mar 21 17:15:10 2019 | start | 
Thu Mar 21 17:20:24 2019 | stop  | 
Thu Mar 21 17:20:27 2019 | start | 
Thu Mar 21 17:22:33 2019 | stop  | 
Thu Mar 21 17:22:36 2019 | start | 
